L0_srq,L1_srq,L2_srq,L3_srq,L4_srq,L5_srq,word,field
0.08427467942229426,0.05845366418355818,0.055637985467855124,0.06190026551478871,0.07719401270143418,0.07048100233070954,force,SCIENCE
0.0961157828568451,0.05981292575591781,0.0598011091350911,0.06241219490760284,0.07291120290748934,0.07296586036674832,energy,SCIENCE
0.07501959055654653,0.05766296759242013,0.05248195677990433,0.060115043073832475,0.07182507216923206,0.07711475342504419,mass,SCIENCE
0.08854325115671839,0.06476350873702248,0.06075924634927395,0.07304750382892933,0.07630939036600111,0.08469793200484388,gravity,SCIENCE
0.09663736820211283,0.06359387934201556,0.059790406376063636,0.06694548577063542,0.08677660673848057,0.08489137142888162,entropy,SCIENCE
0.09109773486843535,0.06274553388350887,0.0630506128072108,0.06969124078743641,0.08461482077828528,0.07540449500076382,plasma,SCIENCE
0.08517018975847665,0.059801149791556374,0.05256590128725294,0.060517526926639,0.07436957351791258,0.0710520456494629,laser,SCIENCE
0.08852047038313482,0.06063310407192653,0.05837408031506427,0.06310083724264001,0.0790196378849715,0.07430467895317741,magnet,SCIENCE
0.08442573249331614,0.06035701185458823,0.060738459229408556,0.06540942937129154,0.0794758126138846,0.07752453535787458,circuit,SCIENCE
0.09518803300705368,0.06216594572847178,0.06066216506500914,0.07023332360181027,0.07582286904123223,0.07682722977716748,gene,SCIENCE
0.08146602400926693,0.05520765439908076,0.056064433965891204,0.0638784580753676,0.07111110217034275,0.07890823208730866,cell,SCIENCE
0.09895321726789115,0.06750379502766533,0.07410833239547947,0.0806256607174067,0.07991375029079074,0.07893975079051706,virus,SCIENCE
0.10209677231878396,0.0661192873786794,0.06524783761779922,0.06952470955392975,0.0807046938361728,0.07563521418773801,enzyme,SCIENCE
0.09919022023667906,0.0643599778413129,0.06091408431523907,0.0679358839988029,0.08659215271464271,0.07219494879238537,protein,SCIENCE
0.08826576611202877,0.05808053218352563,0.06141251338565009,0.0650474873127898,0.0806757711557808,0.0759574158837732,hammer,TOOL
0.08587253838768955,0.062427990138468295,0.05418038368219679,0.06346713006490082,0.0762833133339119,0.07536983489982697,saw,TOOL
0.08665878325692093,0.06920781731598609,0.07005284726612715,0.07322458177797624,0.07990035414687749,0.07913337647906972,drill,TOOL
0.08665878325692093,0.06920781731598609,0.07005284726612715,0.07322458177797624,0.07990035414687749,0.07913337647906972,drill,TOOL
